source_center,destination_center,volume,median_factor,median_actual,median_osrm,total_excess_delay,breach_legs,median_distance,ftl_share,breach_rate,source_name,dest_name
IND364270AAA,IND364001AAA,2,1.8967105263157895,74.0,39.0,70.0,2,48.5137,1.0,1.0,Palitana_STRdDPP_D (Gujarat),Bhavnagar_Dc (Gujarat)
IND785001AAA,IND785112AAC,3,2.111111111111111,40.0,19.0,70.0,3,27.002,0.0,1.0,Jorhat_RicMilRd_D (Assam),Teok_Wardno3_D (Assam)
IND754202AAA,IND751002AAB,1,3.2580645161290325,101.0,31.0,70.0,1,38.6596,1.0,1.0,Cuttack_SliprDPP_DC (Orissa),Bhubaneshwar_Hub (Orissa)
IND274402AAA,IND274301AAB,1,3.333333333333333,100.0,30.0,70.0,1,43.1058,1.0,1.0,Kushinagar_JiswlDPP_D (Uttar Pradesh),Kaptanganj_Subshngr_D (Uttar Pradesh)
IND110037AAM,IND131028AAB,1,2.210526315789474,126.0,57.0,69.0,1,44.0332,0.0,1.0,Delhi_Airport_H (Delhi),Sonipat_Kundli_H (Haryana)
IND562101AAA,IND561207AAB,13,1.1578947368421053,43.0,38.0,69.0,3,40.6427,0.0,0.23076923076923078,Chikblapur_ShntiSgr_D (Karnataka),Bagepalli_TBCross_D (Karnataka)
IND624619AAA,IND624601AAA,10,1.2705570291777188,34.0,26.0,69.0,7,27.20855,1.0,0.7,Oddnchtram_Palani_D (Tamil Nadu),Palani_RjndraRd_D (Tamil Nadu)
IND275101AAA,IND275503AAA,2,4.136363636363637,45.5,11.0,69.0,2,15.9229,1.0,1.0,Mau_BaliaMod_D (Uttar Pradesh),Ghosi_Jamalpur_D (Uttar Pradesh)
IND283122AAB,IND328001AAA,7,1.15625,72.0,62.0,69.0,2,72.5083,1.0,0.2857142857142857,Kirauli_AchneraRD_D (Uttar Pradesh),Dholpur_GtRoad_D (Rajasthan)
IND521001AAA,IND521165AAA,3,1.807692307692308,47.0,26.0,68.0,3,36.5649,1.0,1.0,Machilipatnam_DC (Andhra Pradesh),Vuyyuru_BhogdDPP_D (Andhra Pradesh)
IND242001AAA,IND242307AAB,1,6.230769230769231,81.0,13.0,68.0,1,19.7927,1.0,1.0,Shahjhnpur_NavdaCln_D (Uttar Pradesh),Tilhar_SingCLNY_D (Uttar Pradesh)
IND505325AAA,IND505327AAA,6,1.4219367588932808,27.5,20.0,68.0,6,28.3826,1.0,1.0,Metpally_GunjRDPP_D (Telangana),Jagtial_Aravind_D (Telangana)
IND160003AAA,IND160002AAC,1,3.0,102.0,34.0,68.0,1,44.446,0.0,1.0,Chandigarh (Chandigarh),Chandigarh_Mehmdpur_H (Punjab)
IND516001AAA,IND516227AAA,2,1.7319611470860314,80.5,46.5,68.0,2,53.609899999999996,1.0,1.0,Cuddapah_DC (Andhra Pradesh),Badvel_Sidrd_D (Andhra Pradesh)
IND442605AAA,IND441603AAA,3,2.090909090909091,46.0,23.0,68.0,3,31.538400000000003,0.0,1.0,Gadchiroli_Central_DPP_1 (Maharashtra),Chamorshi_Central_DPP_1 (Maharashtra)
IND571438AAB,IND571401AAA,9,1.2580645161290325,40.0,31.0,68.0,6,24.7471,1.0,0.6666666666666666,Srirangapatna_Bburynkpl_D (Karnataka),Mandya_Dc (Karnataka)
IND000000ACB,IND110052AAA,2,1.500324464633355,102.0,68.0,68.0,2,65.72460000000001,0.0,1.0,Gurgaon_Bilaspur_HB (Haryana),Delhi_Wazirpur_L (Delhi)
IND495004AAA,IND495671AAA,1,2.558139534883721,110.0,43.0,67.0,1,61.5664,1.0,1.0,Bilaspur_Torwa_DC (Chhattisgarh),Champa_Brplicwk_D (Chhattisgarh)
IND262001AAA,IND244901AAB,1,1.8271604938271604,148.0,81.0,67.0,1,111.7625,0.0,1.0,Pilibhit_ViksClny_D (Uttar Pradesh),Rampur_RoshnBgh_I (Uttar Pradesh)
IND487001AAA,IND487551AAA,4,1.3765032377428308,64.0,46.0,67.0,3,50.0591,1.0,0.75,Narsingpur_JrjolDPP_D (Madhya Pradesh),Gadarwara_MPward_D (Madhya Pradesh)
IND425405AAA,IND425409AAA,1,2.313725490196078,118.0,51.0,67.0,1,56.6076,1.0,1.0,Shirpur_KrantiNgr_D (Maharashtra),Shahada_Nandrbar_D (Maharashtra)
IND575004AAB,IND574227AAA,2,2.130787037037037,63.0,29.5,67.0,2,38.8024,0.0,1.0,Mangalore_Kuntikna_H (Karnataka),Moodbidri_MrdiVlge_D (Karnataka)
IND507111AAA,IND507303AAA,1,1.88,141.0,75.0,66.0,1,105.4585,1.0,1.0,Bhadrachalam_ITDARd_D (Telangana),Sathupally_VidyaNGR_D (Telangana)
