facility,name,betweenness,pagerank,in_degree,out_degree,degree,clustering,throughput_legs,total_excess_delay,delay_pct,betw_pct,thru_pct,bottleneck_score
IND486889AAA,Singrauli_Ward8DPP_D (Madhya Pradesh),2.9189836099070305e-06,0.0004290618680942303,1,2,3,0.3333333333333333,14,973.0,0.5775497887748944,0.44357272178636087,0.40012070006035005,0.5018708509354255
IND203131AAA,Khurja_Pnjbiyon_D (Uttar Pradesh),2.9189836099070305e-06,0.00021400854696282493,1,1,2,0.0,21,502.0,0.36059143029571517,0.44357272178636087,0.5618587809293905,0.42573928786964393
IND231225AAB,Anpara_Parasi_D (Uttar Pradesh),2.9189836099070305e-06,0.0002975972736948614,1,1,2,0.0,14,373.0,0.2887748943874472,0.44357272178636087,0.40012070006035005,0.35748340374170184
IND274402AAA,Kushinagar_JiswlDPP_D (Uttar Pradesh),2.736547134287841e-06,0.00040313397096152946,1,2,3,0.3333333333333333,7,335.0,0.256185878092939,0.44146047073023537,0.216053108026554,0.3037417018708509
IND641001AAA,Coimbatore_Ukkadam_D (Tamil Nadu),2.736547134287841e-06,0.0003731860752260789,2,1,3,1.0,9,602.0,0.42697646348823176,0.44146047073023537,0.2664453832226916,0.3992154496077248
IND303008AAB,Dudu_NrainaRD_D (Rajasthan),2.736547134287841e-06,0.0002135893030196074,1,1,2,0.0,10,295.0,0.22993361496680748,0.44146047073023537,0.292094146047073,0.30582377791188897
IND641011AAA,Cjb_West_Dc (Tamil Nadu),2.736547134287841e-06,0.0001585124472107975,1,1,2,1.0,10,900.0,0.5564272782136391,0.44146047073023537,0.292094146047073,0.46907060953530477
IND627401AAA,Ambasamdrm_Solaiprm_D (Tamil Nadu),2.5541106586686518e-06,0.00041809843230179527,1,1,2,1.0,23,801.0,0.5111647555823778,0.43934821967410986,0.6104405552202776,0.5094749547374775
IND732204AAB,Paranpur_Nijgan_D (West Bengal),2.5541106586686518e-06,0.0009115199106344097,1,2,3,0.3333333333333333,19,285.0,0.22329511164755583,0.43934821967410986,0.512070006035003,0.3458660229330115
IND625106AAA,Melur_MduraiRD_D (Tamil Nadu),2.5541106586686518e-06,0.00021400854696282493,1,1,2,0.0,25,702.0,0.468014484007242,0.43934821967410986,0.6472540736270368,0.4952625226312613
IND274304AAA,Kushinagar_KasyaDPP_D (Uttar Pradesh),2.3716741830494622e-06,0.0004500905605914851,2,1,3,0.0,9,423.0,0.31653590826795414,0.43814121907060954,0.2664453832226916,0.34299939649969824
IND625516AAA,Cumbum_LFRoad_D (Tamil Nadu),2.189237707430273e-06,0.00040657997395474217,2,1,3,0.3333333333333333,15,415.0,0.3095956547978274,0.4351237175618588,0.4179239589619795,0.36891973445986725
IND639104AAB,Kulithalai_AnnaNGR_D (Tamil Nadu),2.189237707430273e-06,0.0005019008421159792,1,1,2,0.0,17,1542.0,0.7284248642124321,0.4351237175618588,0.46016898008449003,0.5867833433916717
IND621010AAA,Thuraiyur_Mthrapuri_D (Tamil Nadu),2.189237707430273e-06,0.00021400854696282493,1,1,2,0.0,31,508.0,0.36451418225709115,0.4351237175618588,0.7483403741701871,0.46246228123114064
IND614616AAA,Aranthangi_HsptlRod_D (Tamil Nadu),2.189237707430273e-06,0.0002975972736948614,1,1,2,0.0,32,437.0,0.3228726614363307,0.4351237175618588,0.764031382015691,0.4447797223898612
IND222125AAB,Badlapur_Bhaluahi_D (Uttar Pradesh),2.189237707430273e-06,0.00038653696071640187,1,1,2,0.0,8,218.0,0.18829209414604708,0.4351237175618588,0.24170187085093542,0.27302353651176825
IND805110AAD,Nawada_Central_DPP_2 (Bihar),2.189237707430273e-06,0.00036865207163023074,1,1,2,0.0,18,537.0,0.38292094146047073,0.4351237175618588,0.48672299336149666,0.41934218467109236
IND630002AAA,Karaikudi_Sbrmnprm_D (Tamil Nadu),2.189237707430273e-06,0.00036865207163023074,1,1,2,0.0,30,626.0,0.4387447193723597,0.4351237175618588,0.7317441158720579,0.496258298129149
IND627811AAA,Tenkasi_RailwyRd_D (Tamil Nadu),2.189237707430273e-06,0.00035439876028163866,1,1,2,1.0,20,496.0,0.35576342788171395,0.4351237175618588,0.5353047676523838,0.4154797827398914
IND803101AAA,BiharSarif_Soghra_D (Bihar),2.189237707430273e-06,0.0002975972736948614,1,1,2,0.0,20,1183.0,0.647857573928787,0.4351237175618588,0.5353047676523838,0.5615268557634279
IND504215AAA,Luxettipet_ShivaDPP_D (Telangana),1.824364756191894e-06,0.00044845787258206865,1,2,3,1.0,17,1144.0,0.6421243210621606,0.4312009656004828,0.46016898008449003,0.5424562462281232
IND231217AAA,Renukoot_Govind_D (Uttar Pradesh),1.824364756191894e-06,0.00021400854696282493,1,1,2,0.0,13,384.0,0.2923958961979481,0.4312009656004828,0.37688593844296925,0.3509354254677128
IND759122AAC,Angul_Central_I_2 (Orissa),1.824364756191894e-06,0.0004545111743678469,1,1,2,0.0,2,347.0,0.2700663850331925,0.4312009656004828,0.0700060350030175,0.27839468919734456
IND762001AAA,Phulbani_Krusphrma_D (Orissa),1.824364756191894e-06,0.0003955189578476508,1,1,2,0.0,2,385.0,0.2936028968014484,0.4312009656004828,0.0700060350030175,0.29016294508147256
IND262701AAA,Lakhimpur_Maheva_D (Uttar Pradesh),1.4594918049535152e-06,0.0002975972736948614,1,1,2,0.0,40,1972.0,0.7833433916716959,0.4275799637899819,0.8669281834640917,0.6933313216656609
IND804420AAA,Jehanabad_Madarpur_D (Bihar),1.4594918049535152e-06,0.00021400854696282493,1,1,2,0.0,17,1065.0,0.6122510561255281,0.4275799637899819,0.46016898008449003,0.5264333132166567
IND622407AAA,Ponnamaravathi_Puduvalvu_D (Tamil Nadu),1.4594918049535152e-06,0.0004290618680942303,1,1,2,0.0,28,534.0,0.38141219070609533,0.4275799637899819,0.6994568497284248,0.4588714544357272
IND736135AAA,Dinhata_WrdN4DPP_D (West Bengal),1.4594918049535152e-06,0.0002975972736948614,1,2,3,0.0,19,755.0,0.4924562462281231,0.4275799637899819,0.512070006035003,0.47691611345805673
IND614804AAA,Peravurani_SH71_D (Tamil Nadu),1.4594918049535152e-06,0.00021400854696282493,1,1,2,0.0,32,311.0,0.2407966203983102,0.4275799637899819,0.764031382015691,0.40147857573928786
IND571114AAA,HDKote_BegurRD_D (Karnataka),1.4594918049535152e-06,0.0002792324287172707,2,1,3,0.6666666666666666,17,1732.0,0.7531683765841883,0.4275799637899819,0.46016898008449003,0.5968919734459868
IND571213AAA,Gonikoppal_Thomas_D (Karnataka),1.4594918049535152e-06,0.000206444631558876,1,2,3,0.6666666666666666,21,1187.0,0.6493663246831624,0.4275799637899819,0.5618587809293905,0.5653289076644539
IND803116AAA,Rajgir_PnditNGR_D (Bihar),1.4594918049535152e-06,0.0004290618680942303,1,1,2,0.0,22,846.0,0.5368135184067592,0.4275799637899819,0.5887145443572722,0.5144236572118286
IND852111AAA,Simrahi_Bazar_D (Bihar),1.4230045098296774e-06,0.0003888407979694814,2,4,6,0.5,38,4744.0,0.9112854556427278,0.4248642124321062,0.8445986722993362,0.752021726010863
IND470113AAA,Bina_Srvdycwk_D (Madhya Pradesh),1.2770553293343259e-06,0.0003700177956462073,2,2,4,0.5,12,609.0,0.42939046469523234,0.42426071213035604,0.3488231744115872,0.4117380808690404
IND145001AAA,Pathankot_DC (Punjab),1.0946188537151365e-06,0.0007875688848510518,1,2,3,0.6666666666666666,21,11630.0,0.9631864815932408,0.42033796016898006,0.5618587809293905,0.7200663850331925
IND736146AAA,Mathabhang_Pshimpra_D (West Bengal),1.0946188537151365e-06,0.00021400854696282493,1,1,2,0.0,16,537.0,0.38292094146047073,0.42033796016898006,0.4369342184671092,0.4049487024743512
IND742121AAA,Nowda_AmtlaDPP_D (West Bengal),1.0946188537151365e-06,0.0007908822792921043,1,2,3,0.6666666666666666,34,1759.0,0.7555823777911889,0.42033796016898006,0.79963789981895,0.6638201569100785
IND147201AAA,Nabha_Sahni_D (Punjab),1.0946188537151365e-06,0.0002562512737194903,2,1,3,0.3333333333333333,14,98.0,0.09837054918527459,0.42033796016898006,0.40012070006035005,0.25531080265540135
