source_center,destination_center,volume,median_factor,median_actual,median_osrm,total_excess_delay,breach_legs,median_distance,ftl_share,breach_rate,source_name,dest_name
IND562132AAA,IND501359AAE,8,1.700738393718143,724.5,425.0,2475.0,8,543.77395,1.0,1.0,Bangalore_Nelmngla_H (Karnataka),Hyderabad_Shamshbd_H (Telangana)
IND401209AAA,IND401104AAA,23,6.727272727272728,142.0,21.0,2474.0,23,26.6274,0.0,1.0,Mumbai_Virar_DC (Maharashtra),Mumbai_MiraRd_IP (Maharashtra)
IND600056AAB,IND600008AAC,32,3.0,100.5,34.0,2459.0,32,43.13395,0.0,1.0,MAA_Poonamallee_HB (Tamil Nadu),Chennai_Egmore_DPC (Tamil Nadu)
IND400072AAB,IND000000AFT,67,2.526315789473684,48.0,20.0,2427.0,67,22.367,0.0,1.0,Mumbai Hub (Maharashtra),Mumbai_Sanpada_I (Maharashtra)
IND411033AAA,IND431136AAC,12,2.192353461172311,376.0,172.0,2412.0,12,235.2019,1.0,1.0,Pune_Tathawde_H (Maharashtra),Aurangabad_Central_H_1 (Maharashtra)
IND521225AAB,IND501359AAE,11,1.7843137254901962,455.0,255.0,2409.0,11,316.0786,1.0,1.0,Vijayawada_Rynapadu_H (Andhra Pradesh),Hyderabad_Shamshbd_H (Telangana)
IND421302AAG,IND413002AAA,7,2.064935064935065,636.0,310.0,2403.0,7,411.7283,1.0,1.0,Bhiwandi_Mankoli_HB (Maharashtra),Solapur_Central_I_2 (Maharashtra)
IND274301AAB,IND273014AAB,16,4.711711711711712,173.5,37.0,2401.0,16,52.4335,1.0,1.0,Kaptanganj_Subshngr_D (Uttar Pradesh),Gorakhpur_Matriprm_IP (Uttar Pradesh)
IND244221AAA,IND131028AAB,21,1.873015873015873,243.0,127.0,2388.0,21,163.4916,1.0,1.0,Amroha_SamitiRd_D (Uttar Pradesh),Sonipat_Kundli_H (Haryana)
IND342902A1B,IND302014AAA,9,2.342391304347826,431.0,185.0,2363.0,9,243.8358,1.0,1.0,IND342902A1B,Jaipur_Hub (Rajasthan)
IND501359AAE,IND523002AAA,12,1.7158244481664555,465.0,273.0,2356.0,12,363.46555,1.0,1.0,Hyderabad_Shamshbd_H (Telangana),Ongole_SubhVRTL_I (Andhra Pradesh)
IND600056AAB,IND560099AAB,13,1.7191489361702128,404.0,235.0,2352.0,13,313.4672,1.0,1.0,MAA_Poonamallee_HB (Tamil Nadu),Bengaluru_Bomsndra_HB (Karnataka)
IND712311AAA,IND742101AAC,8,2.848887234218582,443.0,158.0,2349.0,8,215.51875,1.0,1.0,Kolkata_Dankuni_HB (West Bengal),Baharampur_Chuanpur_I (West Bengal)
IND000000ACB,IND125001AAA,15,2.201492537313433,295.0,135.0,2349.0,15,170.2434,1.0,1.0,Gurgaon_Bilaspur_HB (Haryana),Hisar_ModelTwn_P (Haryana)
IND248001AAD,IND131028AAB,9,2.078703703703704,449.0,212.0,2346.0,9,245.4964,0.4444444444444444,1.0,Dehradun_Nirjanpur_L (Uttarakhand),Sonipat_Kundli_H (Haryana)
IND691551AAA,IND691001AAB,20,2.431578947368421,97.0,39.5,2341.0,20,41.65145,0.0,1.0,Adoor_Town_D (Kerala),Kollam_Central_H_1 (Kerala)
IND262802AAA,IND262723AAB,21,2.536231884057971,175.0,69.0,2338.0,21,92.4517,1.0,1.0,Gola_BkgnRoad_D (Uttar Pradesh),Dhaurahara_TahsilRD_D (Uttar Pradesh)
IND431136AAC,IND411033AAA,13,1.9298245614035088,330.0,172.0,2329.0,13,235.4623,1.0,1.0,Aurangabad_Central_H_1 (Maharashtra),Pune_Tathawde_H (Maharashtra)
